Austria (AT),CTY|10YAT-APG------L!BZN|10Y1001A1001A63L
Belgium (BE),CTY|10YBE----------2!BZN|10YBE----------2
Croatia (HR),CTY|10YHR-HEP------M!BZN|10YHR-HEP------M
Czech Republic (CZ),CTY|10YCZ-CEPS-----N!BZN|10YDOM-CZ-DE-SKK
Czech Republic (CZ),CTY|10YCZ-CEPS-----N!BZN|10YCZ-CEPS-----N
Denmark (DK),CTY|10Y1001A1001A65H!BZN|10YDK-1--------W
Denmark (DK),CTY|10Y1001A1001A65H!BZN|10YDK-2--------M
Estonia (EE),CTY|10Y1001A1001A39I!BZN|10Y1001A1001A39I
Finland (FI),CTY|10YFI-1--------U!BZN|10YFI-1--------U
France (FR),CTY|10YFR-RTE------C!BZN|10YFR-RTE------C
Germany (DE),CTY|10Y1001A1001A83F!BZN|10YDOM-CZ-DE-SKK
Germany (DE),CTY|10Y1001A1001A83F!BZN|10Y1001A1001A63L
Hungary (HU),CTY|10YHU-MAVIR----U!BZN|10YHU-MAVIR----U
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A699
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A70O
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A71M
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A72K
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A66F
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A877
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A73I
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A80L
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A68B
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A81J
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A67D
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A76C
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A77A
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A885
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A893
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A74G
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A75E
Italy (IT),CTY|10YIT-GRTN-----B!BZN|10Y1001A1001A788
Latvia (LV),CTY|10YLV-1001A00074!BZN|10YLV-1001A00074
Lithuania (LT),CTY|10YLT-1001A0008Q!BZN|10YLT-1001A0008Q
Netherlands (NL),CTY|10YNL----------L!BZN|10YNL----------L
Norway (NO),CTY|10YNO-0--------C!BZN|10YNO-1--------2
Norway (NO),CTY|10YNO-0--------C!BZN|10YNO-2--------T
Norway (NO),CTY|10YNO-0--------C!BZN|10YNO-3--------J
Norway (NO),CTY|10YNO-0--------C!BZN|10YNO-4--------9
Norway (NO),CTY|10YNO-0--------C!BZN|10Y1001A1001A48H
Poland (PL),CTY|10YPL-AREA-----S!BZN|10YPL-AREA-----S
Portugal (PT),CTY|10YPT-REN------W!BZN|10YPT-REN------W
Russia (RU),CTY|RU!BZN|10Y1001A1001A49F
Russia (RU),CTY|RU!BZN|10Y1001A1001A50U
Slovakia (SK),CTY|10YSK-SEPS-----K!BZN|10YDOM-CZ-DE-SKK
Slovakia (SK),CTY|10YSK-SEPS-----K!BZN|10YSK-SEPS-----K
Slovenia (SI),CTY|10YSI-ELES-----O!BZN|10YSI-ELES-----O
Spain (ES),CTY|10YES-REE------0!BZN|10YES-REE------0
Sweden (SE),CTY|10YSE-1--------K!BZN|10Y1001A1001A44P
Sweden (SE),CTY|10YSE-1--------K!BZN|10Y1001A1001A45N
Sweden (SE),CTY|10YSE-1--------K!BZN|10Y1001A1001A46L
Sweden (SE),CTY|10YSE-1--------K!BZN|10Y1001A1001A47J
Switzerland (CH),CTY|10YCH-SWISSGRIDZ!BZN|10YCH-SWISSGRIDZ
United Kingdom (UK),CTY|GB!BZN|10YGB----------A
United Kingdom (UK),CTY|GB!BZN|10Y1001A1001A59C
